name,	ring,	quadrant,	isNew,	description
Golang, adopt, languages & frameworks, FALSE, "Golang is a statically typed, compiled programming language designed at Google"
NodeJS, adopt, languages & frameworks, FALSE, "Node.js is an open-source, cross-platform, back-end JavaScript runtime environment that runs on the V8 engine and executes JavaScript code outside a web browser."
Kubernetes, adopt, platforms, FALSE, "Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications."
Prometheus, adopt, observability, FALSE, "Prometheus is an open-source systems monitoring and alerting toolkit originally built at SoundCloud."
Grafana, adopt, observability, FALSE, "Grafana is an open-source visualization and analytics software. It allows you to query, visualize, alert on, and explore your metrics no matter where they are stored."
Grafana Tempo, adopt, observability, FALSE, "Grafana Tempo is an open-source, high-scale, high-availability distributed tracing system."
MongoDB, adopt, datastores, FALSE, "MongoDB is a cross-platform document-oriented database program. Classified as a NoSQL database program, MongoDB uses JSON-like documents with optional schemas."
PostgreSQL, adopt, datastores, FALSE, "PostgreSQL, also known as Postgres, is a free and open-source relational database management system emphasizing extensibility and SQL compliance."
Redis, adopt, datastores, FALSE, "Redis is an open-source in-memory data structure store, used as a database, cache, and message broker."
Kafka, adopt, messaging & streaming, FALSE, "Apache Kafka is an open-source stream-processing software platform developed by the Apache Software Foundation, written in Scala and Java."
NATS, trial, messaging & streaming, FALSE, "NATS is an open-source, high-performance cloud native messaging system."
RabbitMQ, adopt, messaging & streaming, FALSE, "RabbitMQ is an open-source message-broker software that originally implemented the Advanced Message Queuing Protocol and has since been extended with a plug-in architecture to support Streaming Text Oriented Messaging Protocol, Message Queuing Telemetry Transport, and other protocols."
Protobuf, adopt, data formats, FALSE, "Protocol Buffers are Google's language-neutral, platform-neutral, extensible mechanism for serializing structured data – think XML, but smaller, faster, and simpler."
